vacuum,power
41.76,463.26
62.96,444.37
39.4,488.56
57.32,446.48
37.5,473.9
59.44,443.67
43.96,467.35
44.71,478.42
45,475.98
43.56,477.5
43.72,453.02
46.93,453.99
73.5,440.29
58.59,451.28
69.34,433.99
43.79,462.19
45,467.54
41.74,477.2
52.75,459.85
38.47,464.3
42.42,468.27
40.07,495.24
42.28,483.8
63.9,443.61
48.6,436.06
70.72,443.25
39.31,464.16
39.96,475.52
35.79,484.41
65.18,437.89
63.94,445.11
58.41,438.86
66.85,440.98
74.16,436.65
63.94,444.26
44.03,465.86
63.73,444.37
47.45,450.69
39.35,469.02
51.3,448.86
47.45,447.14
44.85,469.18
41.54,482.8
42.86,476.7
40.64,474.99
63.94,444.22
37.87,461.33
43.43,448.06
44.71,474.6
40.11,473.05
73.5,432.06
38.62,467.41
78.92,430.12
42.18,473.62
39.39,471.81
59.43,442.99
64.44,442.77
39.33,491.49
61.08,447.46
58.84,446.11
52.3,442.44
65.71,446.22
40.1,471.49
45.87,463.5
58.79,440.01
65.34,441.03
62.96,452.68
40.69,474.91
34.03,478.77
74.34,434.2
68.3,437.91
41.01,477.61
74.67,431.65
74.34,430.57
42.28,481.09
61.02,445.56
39.85,475.74
69.75,435.12
67.25,446.15
76.86,436.64
69.45,436.69
42.18,468.75
43.02,466.6
45.08,465.48
73.68,441.34
69.45,441.83
39.3,464.7
69.75,437.99
58.96,459.12
68.94,429.69
51.43,459.8
64.05,433.63
60.95,442.84
41.66,485.13
52.72,459.12
67.32,445.31
40.72,480.8
66.48,432.55
63.77,443.86
59.21,449.77
43.69,470.71
51.3,452.17
41.38,478.29
71.94,428.54
40.64,478.27
62.66,439.58
49.69,457.32
44.2,475.51
65.59,439.66
40.89,471.99
39.35,479.81
78.92,434.78
61.87,446.58
58.33,437.76
39.72,459.36
44.71,462.28
43.48,464.33
46.21,444.36
59.39,438.64
34.03,470.49
41.1,455.13
66.93,450.22
63.73,440.43
42.85,482.98
50.88,460.44
54.2,444.97
68.67,433.94
73.18,439.73
73.88,434.48
60.84,442.33
45.09,457.67
57.76,454.66
67.25,432.21
43.77,457.66
63.76,435.21
47.43,448.22
41.66,475.51
62.91,446.53
57.32,441.3
69.34,433.54
39.04,472.52
44.78,474.77
69.05,435.1
59.8,450.74
65.06,442.7
68.14,426.56
42.32,463.71
66.93,447.06
57.76,452.27
63.94,445.78
68.3,438.65
40.77,480.15
62.52,447.19
48.41,443.04
39.9,488.81
57.76,455.75
49.39,455.86
46.97,457.68
40.05,479.11
